
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.1.7:54032      20.244.99.23:443       ESTABLISHED     28504
  TCP    192.168.1.7:57793      192.168.1.4:8009       ESTABLISHED     28504
  TCP    192.168.1.7:58350      192.168.1.5:8009       ESTABLISHED     15196
  TCP    192.168.1.7:59388      148.113.20.154:443     ESTABLISHED     3904
  TCP    192.168.1.7:60838      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.7:60855      34.54.84.110:443       ESTABLISHED     680
  TCP    192.168.1.7:60856      13.89.179.11:443       ESTABLISHED     20296
  TCP    192.168.1.7:60857      13.89.179.11:443       ESTABLISHED     20296
  TCP    192.168.1.7:60919      192.168.1.5:8009       ESTABLISHED     28504
  TCP    [::]:80                [::]:0                 LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1464
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2869              [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       6004
  TCP    [::]:3389              [::]:0                 LISTENING       1656
  TCP    [::]:5985              [::]:0                 LISTENING       4
  TCP    [::]:7070              [::]:0                 LISTENING       3904
  TCP    [::]:8080              [::]:0                 LISTENING       12580
  TCP    [::]:33060             [::]:0                 LISTENING       6004
  TCP    [::]:47001             [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       1140
  TCP    [::]:49665             [::]:0                 LISTENING       608
  TCP    [::]:49666             [::]:0                 LISTENING       2276
  TCP    [::]:49667             [::]:0                 LISTENING       1460
  TCP    [::]:49668             [::]:0                 LISTENING       2972
  TCP    [::]:49669             [::]:0                 LISTENING       3640
  TCP    [::]:49677             [::]:0                 LISTENING       1112
  TCP    [::]:51108             [::]:0                 LISTENING       15984
  TCP    [::]:63360             [::]:0                 LISTENING       26420
  TCP    [::1]:42050            [::]:0                 LISTENING       26068
  TCP    [::1]:49670            [::]:0                 LISTENING       4368
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:50490  [2600:1901:0:47fc::]:443  ESTABLISHED     28504
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53807  [2404:6800:4003:c11::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53809  [2404:6800:4003:c11::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53816  [2404:6800:4003:c11::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53817  [2404:6800:4003:c11::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53818  [2404:6800:4003:c11::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53820  [2404:6800:4007:831::200a]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53823  [2404:6800:4007:837::2001]:443  TIME_WAIT       0
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53837  [2404:6800:4003:c11::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53861  [2404:6800:4003:c11::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:53862  [2404:6800:4003:c11::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:54763  [2404:6800:4003:c05::bc]:5228  ESTABLISHED     15196
